MARCA,AÑO,SUBMARCA,G/Km,Descripción,Venta/Contado,Compra/Lista,extra 1,,,extra 2,,,extra 3,,,extra 4,,,extra 5,,,extra 6,,,extra 7,,,extra 8,,,extra 9,,,extra 10,
Acura,2011,MDX,D,"5 pts. TA, piel, RA-18, 4x4","157,700","134,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2010,MDX,D,"5 pts. TA, piel, RA-18, 4x4","140,800","120,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2009,MDX,D,"5 pts. TA, piel, RA-18, 4x4","122,300","104,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2019,NSX,D,"2 pts. Coupé Híbrido, V6, Biturbo, TA","2,668,900","2,298,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2019,NSX,D,"2 pts. Coupé Exclusive Híbrido, V6, Biturbo, TA, GPS, frenos ceramica","3,300,500","2,842,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2018,NSX,D,"2 pts. Coupé Híbrido, V6, Biturbo, TA","2,287,400","1,966,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2018,NSX,D,"2 pts. Coupé Exclusive Híbrido, V6, Biturbo, TA, GPS, frenos ceramica","2,827,000","2,430,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2017,NSX,D,"2 pts. Coupé Híbrido, V6, Biturbo, TA","2,066,000","1,771,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2017,NSX,D,"2 pts. Coupé Exclusive Híbrido, V6, Biturbo, TA, GPS, frenos ceramica","2,532,200","2,171,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2020,RDX,0,"5 pts. Tech, 2.0T, TA, piel, QCP, GPS, f. Led, RA-19","749,900",0,Añadir Sytle Kit,"38,340",,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2020,RDX,0,"5 pts. A-Spec, 2.0T, TA, piel, QCP, GPS, f. niebla, RA-20","819,900",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2019,RDX,D,"5 pts. Tech, 2.0T, TA, piel, QCP, GPS, f. Led, RA-19","501,700","436,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
